Merilec;Meril;Kandidat;word;subject;gender;stressed;vowelNoIpa;vowel;f0;f1;f2;f3;f4;f1Bark;f2Bark
A;RM-Mikanovič;Nataša Pirc Musar;zasluži;f1;f;TRUE;u;u;188.635947994501;453.860943330129;2238.89893126582;3585.81658535451;5067.23304718655;4.51089182282967;13.7653858451509
A;RM-Mikanovič;Nataša Pirc Musar;vsak;f1;f;TRUE;a;a;166.984408058114;728.712166139458;1435.72471657529;2608.08793164141;3901.42046123964;6.73621964977769;10.8053651618155
A;RM-Mikanovič;Nataša Pirc Musar;umrli;f1;f;TRUE;@;ə;141.926020124828;601.68439945426;1326.89318474601;3011.97689117236;3426.62026002748;5.76709059898451;10.2929882395127
A;RM-Mikanovič;Nataša Pirc Musar;vsak;f1;f;TRUE;a;a;192.689780824767;825.47825244601;1394.6479351842;2302.5519443601;3744.88595749502;7.41516055856605;10.6158823294479
A;RM-Mikanovič;Nataša Pirc Musar;umrl;f1;f;TRUE;@;ə;189.440045848297;597.935356504732;1485.820677638;2333.37992821826;3659.30535834767;5.73702581327028;11.0303381876448
A;RM-Mikanovič;Nataša Pirc Musar;umrli;f1;f;TRUE;@;ə;177.925982501999;618.123913932343;1415.80690930165;2530.69487757472;3718.44083372856;5.89789201984068;10.7140623110845
A;RM-Mikanovič;Nataša Pirc Musar;preveč;f1;f;TRUE;E;ɛ;NA;602.461473271472;1919.69837198671;2500.78206699393;3987.3205414372;5.77331119780195;12.7357512049341
A;RM-Mikanovič;Nataša Pirc Musar;nisem;f1;f;TRUE;i;i;233.196902162002;274.577511945381;2084.13906121923;2572.15613146218;3719.88214377249;2.76432434359681;13.2864804388408
A;RM-Mikanovič;Nataša Pirc Musar;spremljala;f1;f;TRUE;e;e;208.707259076745;424.341102922954;1983.48564593222;2384.13894825839;3758.29776658735;4.24137476488489;12.9548342157137
A;RM-Mikanovič;Nataša Pirc Musar;tega;f1;f;TRUE;e;e;177.50823342097;448.642345095004;1914.10619717908;2641.24179018507;3729.11445485423;4.4637265682019;12.7162004226259
A;RM-Mikanovič;Nataša Pirc Musar;kaj;f1;f;TRUE;a;a;165.391058165974;852.875632076203;1482.99800856555;2336.17868235398;3788.35154970686;7.59890390005823;11.0178360750511
A;RM-Mikanovič;Nataša Pirc Musar;rekel;f1;f;TRUE;e;e;165.737198855322;406.826409332201;2068.27551750849;2553.07021716162;3843.0103048351;4.07828727919836;13.2353113307153
A;RM-Mikanovič;Nataša Pirc Musar;gospod;f1;f;TRUE;o;o;175.108215476366;531.433660412809;1003.30751371066;2639.91813652856;3424.9733203335;5.18868987003518;8.5472470687324
A;RM-Mikanovič;Nataša Pirc Musar;Janković;f1;f;TRUE;a;a;167.276185799962;973.22714508459;1401.20721204188;2171.62885311968;3630.71477771206;8.36539693625241;10.6464503004329
A;RM-Mikanovič;Nataša Pirc Musar;ampak;f1;f;TRUE;a;a;NA;728.687527882158;1239.9253377775;2278.75381144973;3771.70447378636;6.73604055693633;9.85849185428282
A;RM-Mikanovič;Nataša Pirc Musar;nedvomno;f1;f;TRUE;o;o;191.002134383765;461.124701905917;728.245221487447;2897.45801341242;3591.38885074309;4.57620260425481;6.7328249208885
A;RM-Mikanovič;Nataša Pirc Musar;bomo;f1;f;TRUE;o;o;167.554372514586;519.261352245196;862.995589125502;2606.56367259033;3431.83489633611;5.08513889654538;7.66587243904337
A;RM-Mikanovič;Nataša Pirc Musar;Sloveniji;f1;f;TRUE;e;e;167.148225690985;446.619933155866;2128.34692398716;2600.15973646614;3641.23013913884;4.44539318234063;13.426981169408
A;RM-Mikanovič;Nataša Pirc Musar;našli;f1;f;TRUE;a;a;169.939039637042;992.311837546064;1496.59993294155;2533.73720727664;3642.30869965931;8.48120268742441;11.077893589241
A;RM-Mikanovič;Nataša Pirc Musar;primerno;f1;f;TRUE;e;e;159.779859461312;515.643869997956;1935.55057061107;2439.26137875897;3718.38842965393;5.05416835401152;12.7908669371587
A;RM-Mikanovič;Nataša Pirc Musar;mesto;f1;f;TRUE;e;e;166.301046210529;476.395871253505;2170.71006995062;2779.9803029786;3689.14572080255;4.71224058126289;13.5587973229435
A;RM-Mikanovič;Nataša Pirc Musar;tudi;f1;f;TRUE;u;u;180.678765546376;369.454842056743;1180.39080995159;2423.74716048011;3550.60111613148;3.72210402739372;9.54717813799422
A;RM-Mikanovič;Nataša Pirc Musar;te;f1;f;TRUE;e;e;151.28793002957;410.51502883442;2077.43685724089;2720.8593082094;3760.66343636726;4.11283406313707;13.2649110071507
A;RM-Mikanovič;Nataša Pirc Musar;vojni;f1;f;TRUE;O;ɔ;149.938202690075;755.701232975348;1085.11274178268;2429.58412562695;3338.0969894804;6.9304488189121;9.0236274266688
A;RM-Mikanovič;Nataša Pirc Musar;pobiti;f1;f;TRUE;i;i;116.827018213271;276.088325998194;2087.59506791686;2752.81384926977;4039.16276301533;2.78021272011129;13.2975748516651
A;RM-Mikanovič;Nataša Pirc Musar;vendarle;f1;f;TRUE;@;ə;240.161598767988;648.973156262617;1328.59372837556;2412.80413087597;3660.46265902848;6.13889587485253;10.3012551807193
A;RM-Mikanovič;Nataša Pirc Musar;dodala;f1;f;TRUE;a;a;179.649839748441;788.332458295979;1310.75067278079;2618.64397258411;3619.22046115246;7.16018796947857;10.214085701701
A;RM-Mikanovič;Nataša Pirc Musar;eno;f1;f;TRUE;E;ɛ;169.796926340065;614.241242017246;1730.79150792729;2612.91882585882;3638.86524560105;5.86715013095577;12.0425119470619
A;RM-Mikanovič;Nataša Pirc Musar;drugo;f1;f;TRUE;u;u;164.91875024808;642.359517571251;2120.43251611461;3322.0444916121;4189.29039337419;6.08770925569807;13.4020514510467
A;RM-Mikanovič;Nataša Pirc Musar;obstajajo;f1;f;TRUE;a;a;220.381209511959;909.239202571225;1376.75860305951;2698.56199160722;3758.71251695039;7.96587688579249;10.5319024445405
A;RM-Mikanovič;Nataša Pirc Musar;možnosti;f1;f;TRUE;o;o;139.804362025738;350.824034155387;680.229910654904;2924.67014942171;3087.77641308211;3.54023304963318;6.37733933096544
A;RM-Mikanovič;Nataša Pirc Musar;kako;f1;f;TRUE;o;o;164.245441213438;600.660175114072;831.584086637334;2468.2763335832;3573.49328170927;5.75888575349163;7.45642228599411
A;RM-Mikanovič;Nataša Pirc Musar;lahko;f1;f;TRUE;o;o;162.486198941936;541.757522979665;797.672198663934;2517.33095818385;3530.13864803328;5.27572619755159;7.22494333827682
A;RM-Mikanovič;Nataša Pirc Musar;predsednika;f1;f;TRUE;e;e;163.530376069807;461.148932286897;1966.25661800224;2636.7772569025;3741.72546905626;4.5764198115784;12.8963613047949
A;RM-Mikanovič;Nataša Pirc Musar;putina;f1;f;TRUE;u;u;146.674384462873;379.880326161539;920.518146032674;2292.26329526904;3550.44841939614;3.82261215307459;8.03758758111849
A;RM-Mikanovič;Nataša Pirc Musar;ustavimo;f1;f;TRUE;a;a;120.82020062544;818.213028935709;1359.44389199433;2464.42918497519;3751.12353108168;7.36582766954693;10.4497580348529
A;RM-Mikanovič;Nataša Pirc Musar;ena;f1;f;TRUE;E;ɛ;187.378252655561;719.132772353646;2063.5770226115;2661.15445983312;3826.13797519343;6.66633973566141;13.220078516033
A;RM-Mikanovič;Nataša Pirc Musar;možnosti;f1;f;TRUE;o;o;214.120525110077;525.25968363993;764.01521420734;2246.9243497645;3214.69905179484;5.13629403401483;6.98950568633633
A;RM-Mikanovič;Nataša Pirc Musar;ta;f1;f;TRUE;a;a;204.847343480502;901.46601736923;1388.78547516435;2724.9847559852;3613.92833796683;7.91612648864825;10.5884603687786
A;RM-Mikanovič;Nataša Pirc Musar;se;f1;f;TRUE;E;ɛ;151.659748937464;598.632661304698;1851.60666147043;2627.97039363283;3746.60220120113;5.74262439517014;12.4937925900968
A;RM-Mikanovič;Nataša Pirc Musar;proti;f1;f;TRUE;o;o;196.865520154968;525.673201881634;835.554596847039;2431.47483302199;3414.73315908612;5.13981151495623;7.48315730579338
A;RM-Mikanovič;Nataša Pirc Musar;njemu;f1;f;TRUE;E;ɛ;190.439134973945;765.601919783296;1837.46361797064;2644.59570877174;3725.36244273308;7.00073562225187;12.4424480742013
A;RM-Mikanovič;Nataša Pirc Musar;obrnejo;f1;f;TRUE;@;ə;174.061876293274;561.084354223968;1240.55752622337;2339.70809882893;3591.82314623106;5.43674661501954;9.8617355040621
